id;nome;razao_social;nome_fanstasia;cnpj;email;contato;status;recarga_pendente;possui_bau;endereco;endereco_numero;endereco_complemento;endereco_bairro;cep
1;web services;Industrial Designer Incredible Fresh Car;Principal Senior;Paraguay;Arch62@hotmail.com;Dalasi;Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;facilitate Persevering;Fantastic;zero defect Ridges Beauty;groupware
2;Credit Card Account clear-thinking Frozen;parsing;models New Mexico District;Accountability;Katlyn2@hotmail.com;drive online;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response
3;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS;Viviane87@yahoo.com;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless;withdrawal Jamaica;International;Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;Business-focused Canyon Orchestrator
4;frictionless orchid;Future-proofed Awesome;Creek;Shirt Metal;Chelsie.Deckow41@yahoo.com;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;Awesome;Kiribati;cyan innovative;open architecture alliance;online;Bulgarian Lev Cambridgeshire
5;Regional;Home;primary quantify Chips;Guyana;Jazlyn_Feest@hotmail.com;Kiribati monitor;Games;Metal;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;Hungary Configurable;interface;Toys;overriding
6;internet solution;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Kyler_Lynch43@hotmail.com;Cotton encompassing;Dynamic Home Loan Account;dot-com;methodology Integration Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent
7;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;Meredith50@gmail.com;Open-source Metal Auto Loan Account;Awesome;Sausages Haven;Checking Account frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;users scalable
8;transmitting parse infrastructures;matrix Implementation Shirt;Mobility;Arizona synthesizing Fresh;Neoma.Douglas82@hotmail.com;gold;payment;National structure;whiteboard indexing;interface Central;intranet index;Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences
9;Credit Card Account;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;Natalie20@hotmail.com;application Cambridgeshire;scalable connecting Fantastic;Creek Investment Account Buckinghamshire;Shoes Intuitive;synthesize Baby Credit Card Account;Portugal Persistent;hacking Interactions;Idaho strategize;value-added Savings Account
10;Connecticut Avon Money Market Account;bus;Security Virginia;solid state Clothing deposit;Kira.Hintz@hotmail.com;Handmade Unbranded;Chief Coves Concrete;Pizza yellow programming;FTP;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;synergize;JSON National
